Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasGender  Male,0.074879227,0.678832117,0.678832117,93,137,137,?a
?a  treatmentType  Immunotherapy   ,?a  hasGender  Male,0.102254428,0.675531915,0.675531915,127,188,188,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasGender  Male,0.052334944,0.474452555,0.474452555,65,137,137,?a
?a  hasRelapse_Progression  Relapse   ,?a  hasGender  Male,0.041867955,0.693333333,0.693333333,52,75,75,?a
?a  hasRelapse_Progression  No_Progression   ,?a  hasGender  Male,0.140096618,0.707317073,0.707317073,174,246,246,?a
?a  patientDrug  Placebo%20Controlled%20Study   ,?a  hasGender  Male,0.011272142,0.7,0.7,14,20,20,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasGender  Male,0.285024155,0.71659919,0.71659919,354,494,494,?a
?a  patientDrug  Gefitinib   ,?a  hasGender  Male,0.010466989,0.371428571,0.371428571,13,35,35,?a
?a  patientDrug  Erlotinib   ,?a  hasGender  Male,0.02173913,0.465517241,0.465517241,27,58,58,?a
?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  hasGender  Male,0.085346216,0.706666667,0.706666667,106,150,150,?a
?a  patientDrug  Doxorubicin   ,?a  hasGender  Male,0.038647343,0.8,0.8,48,60,60,?a
?a  patientDrug  Nivolumab   ,?a  hasGender  Male,0.072463768,0.725806452,0.725806452,90,124,124,?a
?a  patientDrug  Atezolizumab   ,?a  hasGender  Male,0.010466989,0.65,0.65,13,20,20,?a
?a  patientDrug  Gemcitabine   ,?a  hasGender  Male,0.028180354,0.625,0.625,35,56,56,?a
?a  hasRelapse_Progression  Progression   ,?a  hasGender  Male,0.375201288,0.686303387,0.686303387,466,679,679,?a
?a  patientDrug  Vp-16   ,?a  hasGender  Male,0.117552335,0.691943128,0.691943128,146,211,211,?a
?a  patientDrug  Cyclophosphamide   ,?a  hasGender  Male,0.037037037,0.766666667,0.766666667,46,60,60,?a
?a  patientDrug  Pemetrexed   ,?a  hasGender  Male,0.132850242,0.652173913,0.652173913,165,253,253,?a
?a  patientDrug  Vincristine   ,?a  hasGender  Male,0.037037037,0.766666667,0.766666667,46,60,60,?a
?a  patientDrug  Cisplatin   ,?a  hasGender  Male,0.155394525,0.684397163,0.684397163,193,282,282,?a
?a  patientDrug  Docetaxel   ,?a  hasGender  Male,0.054750403,0.68,0.68,68,100,100,?a
?a  patientDrug  Pembrolizumab   ,?a  hasGender  Male,0.034621578,0.641791045,0.641791045,43,67,67,?a
?a  patientDrug  Other   ,?a  hasGender  Male,0.012077295,0.454545455,0.454545455,15,33,33,?a
?a  patientDrug  Ipilimumab   ,?a  hasGender  Male,0.012882448,0.761904762,0.761904762,16,21,21,?a
?a  patientDrug  Vinorelbine   ,?a  hasGender  Male,0.199677939,0.740298507,0.740298507,248,335,335,?a
?a  patientDrug  Afatinib   ,?a  hasGender  Male,0.016908213,0.477272727,0.477272727,21,44,44,?a
?a  patientDrug  Osimertinib   ,?a  hasGender  Male,0.013687601,0.377777778,0.377777778,17,45,45,?a
?a  patientDrug  Paclitaxel   ,?a  hasGender  Male,0.161835749,0.688356164,0.688356164,201,292,292,?a
?a  hasBiomarker  PDL1_Negative   ,?a  hasGender  Male,0.057971014,0.712871287,0.712871287,72,101,101,?a
?a  hasBiomarker  ALK_Positive   ,?a  hasGender  Male,0.014492754,0.545454545,0.545454545,18,33,33,?a
?a  patientDrug  Carboplatin   ,?a  hasGender  Male,0.361513688,0.710443038,0.710443038,449,632,632,?a
?a  hasBiomarker  EGFR_Positive   ,?a  hasGender  Male,0.024959742,0.373493976,0.373493976,31,83,83,?a
?a  hasBiomarker  RET_Negative   ,?a  hasGender  Male,0.036231884,0.865384615,0.865384615,45,52,52,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasGender  Male,0.206924316,0.690860215,0.690860215,257,372,372,?a
?a  hasBiomarker  PDL1_Positive   ,?a  hasGender  Male,0.06763285,0.6,0.6,84,140,140,?a
?a  hasBiomarker  EGFR_Negative   ,?a  hasGender  Male,0.235909823,0.691037736,0.691037736,293,424,424,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.023703195,0.112745098,0.116949153,69,612,590,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.020954998,0.123481781,0.127615063,61,494,478,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasGender  Male,0.144927536,0.684410646,0.684410646,180,263,263,?a
?a  hasGender  Female   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.015115081,0.11827957,0.1232493,44,372,357,?a
?a  hasGender  Male   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.031947784,0.106896552,0.110189573,93,870,844,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.046032291,0.340966921,0.340966921,134,393,393,?a
?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.016832704,0.326666667,0.326666667,49,150,150,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.0195809,0.115384615,0.115384615,57,494,494,?a
?a  treatmentType  Immunotherapy   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.013053933,0.20212766,0.20212766,38,188,188,?a
?a  hasStage  IIIB   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.013740982,0.283687943,0.294117647,40,141,136,?a
?a  hasStage  IIIA   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.020267949,0.243801653,0.244813278,59,242,241,?a
?a  patientDrug  Cisplatin   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.021642047,0.223404255,0.224199288,63,282,281,?a
?a  hasBiomarker  BRAF_Negative   ,?a  hasGender  Male,0.074074074,0.766666667,0.766666667,92,120,120,?a
?a  patientDrug  Vinorelbine   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.030573686,0.265671642,0.266467066,89,335,334,?a
?a  patientDrug  Carboplatin   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.030573686,0.140822785,0.143086817,89,632,622,?a
?a  hasAgeCategory  Young   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.014084507,0.119186047,0.120234604,41,344,341,?a
?a  patientDrug  Paclitaxel   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.040535898,0.404109589,0.404109589,118,292,292,?a
?a  hasBiomarker  ROS1_Negative   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.010305737,0.114068441,0.12195122,30,263,246,?a
?a  hasAgeCategory  Old   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.032978358,0.107023411,0.111627907,96,897,860,?a
?a  hasBiomarker  ALK_Negative   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.016145654,0.126344086,0.133144476,47,372,353,?a
?a  hasBiomarker  EGFR_Negative   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.018893851,0.129716981,0.135802469,55,424,405,?a
?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.034695981,0.148748159,0.151197605,101,679,668,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  treatmentType  Immunotherapy,0.033321883,0.158496732,0.16440678,97,612,590,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  treatmentType  Immunotherapy,0.029543112,0.174089069,0.179916318,86,494,478,?a
?a  hasGender  Female   ,?a  treatmentType  Immunotherapy,0.020954998,0.163978495,0.170868347,61,372,357,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  treatmentType  Immunotherapy,0.014428032,0.165354331,0.165354331,42,254,254,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  treatmentType  Immunotherapy,0.014428032,0.311111111,0.311111111,42,135,135,?a
?a  treatmentType  Thoracoscopy   ,?a  treatmentType  Immunotherapy,0.012710409,0.104225352,0.104225352,37,355,355,?a
?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  treatmentType  Immunotherapy,0.013053933,0.277372263,0.277372263,38,137,137,?a
?a  hasStage  IVA   ,?a  treatmentType  Immunotherapy,0.011336311,0.392857143,0.452054795,33,84,73,?a
?a  hasGender  Male   ,?a  treatmentType  Immunotherapy,0.043627619,0.145977011,0.150473934,127,870,844,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  treatmentType  Immunotherapy,0.02335967,0.17302799,0.17302799,68,393,393,?a
?a  hasStage  IVB   ,?a  treatmentType  Immunotherapy,0.011679835,0.283333333,0.300884956,34,120,113,?a
?a  hasStage  IV   ,?a  treatmentType  Immunotherapy,0.016832704,0.170731707,0.180811808,49,287,271,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.039505325,0.232793522,0.232793522,115,494,494,?a
?a  patientDrug  Pembrolizumab   ,?a  treatmentType  Immunotherapy,0.014084507,0.611940299,0.650793651,41,67,63,?a
?a  hasAgeCategory  Young   ,?a  treatmentType  Immunotherapy,0.023703195,0.200581395,0.202346041,69,344,341,?a
?a  patientDrug  Nivolumab   ,?a  treatmentType  Immunotherapy,0.036757128,0.862903226,0.862903226,107,124,124,?a
?a  patientDrug  Docetaxel   ,?a  treatmentType  Immunotherapy,0.012710409,0.37,0.37,37,100,100,?a
?a  hasAgeCategory  Old   ,?a  treatmentType  Immunotherapy,0.040879423,0.132664437,0.138372093,119,897,860,?a
?a  patientDrug  Cisplatin   ,?a  treatmentType  Immunotherapy,0.021298523,0.219858156,0.220640569,62,282,281,?a
?a  patientDrug  Vinorelbine   ,?a  treatmentType  Immunotherapy,0.022329097,0.194029851,0.194610778,65,335,334,?a
?a  patientDrug  Paclitaxel   ,?a  treatmentType  Immunotherapy,0.023016146,0.229452055,0.229452055,67,292,292,?a
?a  patientDrug  Pemetrexed   ,?a  treatmentType  Immunotherapy,0.026107867,0.300395257,0.305220884,76,253,249,?a
?a  hasBiomarker  PDL1_Negative   ,?a  treatmentType  Immunotherapy,0.010992786,0.316831683,0.344086022,32,101,93,?a
?a  patientDrug  Carboplatin   ,?a  treatmentType  Immunotherapy,0.038818276,0.178797468,0.181672026,113,632,622,?a
?a  hasBiomarker  PDL1_Positive   ,?a  treatmentType  Immunotherapy,0.022329097,0.464285714,0.5,65,140,130,?a
?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Immunotherapy,0.049124012,0.210603829,0.214071856,143,679,668,?a
?a  hasBiomarker  ALK_Negative   ,?a  treatmentType  Immunotherapy,0.035726554,0.279569892,0.294617564,104,372,353,?a
?a  hasBiomarker  ROS1_Negative   ,?a  treatmentType  Immunotherapy,0.026451391,0.292775665,0.31300813,77,263,246,?a
?a  hasBiomarker  EGFR_Negative   ,?a  treatmentType  Immunotherapy,0.039505325,0.271226415,0.283950617,115,424,405,?a
?a  hasSmokingHabit  NonSmoker   ,?a  treatmentType  Molecular_Targeted_Therapy,0.022672621,0.492537313,0.503816794,66,134,131,?a
?a  hasGender  Female   ,?a  treatmentType  Molecular_Targeted_Therapy,0.024733768,0.193548387,0.201680672,72,372,357,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  treatmentType  Molecular_Targeted_Therapy,0.012710409,0.145669291,0.145669291,37,254,254,?a
?a  patientDrug  Gefitinib   ,?a  treatmentType  Molecular_Targeted_Therapy,0.010305737,0.857142857,0.857142857,30,35,35,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Molecular_Targeted_Therapy,0.0195809,0.115384615,0.115384615,57,494,494,?a
?a  patientDrug  Osimertinib   ,?a  treatmentType  Molecular_Targeted_Therapy,0.015458605,1,1,45,45,45,?a
?a  hasStage  IV   ,?a  treatmentType  Molecular_Targeted_Therapy,0.019924425,0.202090592,0.21402214,58,287,271,?a
?a  patientDrug  Erlotinib   ,?a  treatmentType  Molecular_Targeted_Therapy,0.017863277,0.896551724,0.912280702,52,58,57,?a
?a  patientDrug  Afatinib   ,?a  treatmentType  Molecular_Targeted_Therapy,0.014771556,0.977272727,0.977272727,43,44,44,?a
?a  patientDrug  Cisplatin   ,?a  treatmentType  Molecular_Targeted_Therapy,0.015115081,0.156028369,0.15658363,44,282,281,?a
?a  patientDrug  Vinorelbine   ,?a  treatmentType  Molecular_Targeted_Therapy,0.012710409,0.110447761,0.110778443,37,335,334,?a
?a  patientDrug  Paclitaxel   ,?a  treatmentType  Molecular_Targeted_Therapy,0.010305737,0.102739726,0.102739726,30,292,292,?a
?a  patientDrug  Pemetrexed   ,?a  treatmentType  Molecular_Targeted_Therapy,0.019237375,0.221343874,0.224899598,56,253,249,?a
?a  hasBiomarker  ALK_Negative   ,?a  treatmentType  Molecular_Targeted_Therapy,0.015458605,0.120967742,0.127478754,45,372,353,?a
?a  hasAgeCategory  Young   ,?a  treatmentType  Molecular_Targeted_Therapy,0.021298523,0.180232558,0.181818182,62,344,341,?a
?a  hasBiomarker  EGFR_Negative   ,?a  treatmentType  Molecular_Targeted_Therapy,0.020267949,0.139150943,0.145679012,59,424,405,?a
?a  hasBiomarker  ROS1_Negative   ,?a  treatmentType  Molecular_Targeted_Therapy,0.014771556,0.163498099,0.174796748,43,263,246,?a
?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Molecular_Targeted_Therapy,0.038131226,0.1634757,0.166167665,111,679,668,?a
?a  hasSmokingHabit  NonSmoker   ,?a  hasBiomarker  ALK_Negative,0.026086957,0.313432836,0.40776699,42,134,103,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  ALK_Negative,0.117391304,0.308823529,0.682310469,189,612,277,?a
?a  hasBiomarker  EGFR_Positive   ,?a  treatmentType  Molecular_Targeted_Therapy,0.024733768,0.86746988,0.87804878,72,83,82,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  ALK_Negative,0.08757764,0.285425101,0.758064516,141,494,186,?a
?a  hasBiomarker  EGFR_Positive   ,?a  hasBiomarker  ALK_Negative,0.01863354,0.361445783,0.361445783,30,83,83,?a
?a  hasBiomarker  PDL1_Negative   ,?a  hasBiomarker  ALK_Negative,0.046583851,0.742574257,0.742574257,75,101,101,?a
?a  hasBiomarker  RET_Negative   ,?a  hasBiomarker  ALK_Negative,0.031677019,0.980769231,0.980769231,51,52,52,?a
?a  hasBiomarker  PDL1_Positive   ,?a  hasBiomarker  ALK_Negative,0.062732919,0.721428571,0.721428571,101,140,140,?a
?a  hasBiomarker  BRAF_Negative   ,?a  hasBiomarker  ALK_Negative,0.068944099,0.925,0.925,111,120,120,?a
?a  hasStage  IVA   ,?a  hasBiomarker  ALK_Negative,0.028571429,0.547619048,0.696969697,46,84,66,?a
?a  hasStage  IIIB   ,?a  hasBiomarker  ALK_Negative,0.019875776,0.226950355,0.571428571,32,141,56,?a
?a  hasStage  IVB   ,?a  hasBiomarker  ALK_Negative,0.042236025,0.566666667,0.739130435,68,120,92,?a
?a  hasStage  IV   ,?a  hasBiomarker  ALK_Negative,0.060869565,0.341463415,0.586826347,98,287,167,?a
?a  hasGender  Female   ,?a  hasBiomarker  ALK_Negative,0.071428571,0.309139785,0.580808081,115,372,198,?a
?a  hasStage  IIIA   ,?a  hasBiomarker  ALK_Negative,0.048447205,0.32231405,0.702702703,78,242,111,?a
?a  treatmentType  Open_Surgical_Procedure   ,?a  hasBiomarker  ALK_Negative,0.045962733,0.324561404,0.74,74,228,100,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasBiomarker  ALK_Negative,0.153416149,0.939163498,0.939163498,247,263,263,?a
?a  hasBiomarker  EGFR_Negative   ,?a  hasBiomarker  ALK_Negative,0.206832298,0.785377358,0.785377358,333,424,424,?a
?a  treatmentType  Surgery   ,?a  hasBiomarker  ALK_Negative,0.019875776,0.351648352,0.561403509,32,91,57,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.038509317,0.459259259,0.58490566,62,135,106,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  ALK_Negative,0.044720497,0.283464567,0.660550459,72,254,109,?a
?a  hasAgeCategory  Old   ,?a  hasBiomarker  ALK_Negative,0.159006211,0.285395764,0.661498708,256,897,387,?a
?a  hasAgeCategory  Young   ,?a  hasBiomarker  ALK_Negative,0.072049689,0.337209302,0.648044693,116,344,179,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  ALK_Negative,0.027950311,0.328467153,0.346153846,45,137,130,?a
?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasBiomarker  ALK_Negative,0.031677019,0.309090909,0.662337662,51,165,77,?a
?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  ALK_Negative,0.044720497,0.202816901,0.685714286,72,355,105,?a
?a  patientDrug  Erlotinib   ,?a  hasBiomarker  ALK_Negative,0.013043478,0.362068966,0.388888889,21,58,54,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  ALK_Negative,0.062732919,0.256997455,0.62345679,101,393,162,?a
?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  ALK_Negative,0.029192547,0.343065693,0.671428571,47,137,70,?a
?a  patientDrug  Docetaxel   ,?a  hasBiomarker  ALK_Negative,0.040993789,0.66,0.785714286,66,100,84,?a
?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  ALK_Negative,0.027950311,0.671641791,0.865384615,45,67,52,?a
?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  hasBiomarker  ALK_Negative,0.029192547,0.313333333,0.691176471,47,150,68,?a
?a  treatmentType  Immunotherapy   ,?a  hasBiomarker  ALK_Negative,0.064596273,0.553191489,0.732394366,104,188,142,?a
?a  patientDrug  Osimertinib   ,?a  hasBiomarker  ALK_Negative,0.011801242,0.422222222,0.441860465,19,45,43,?a
?a  hasGender  Male   ,?a  hasBiomarker  ALK_Negative,0.159627329,0.295402299,0.698369565,257,870,368,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  ALK_Negative,0.118012422,0.384615385,0.669014085,190,494,284,?a
?a  hasRelapse_Progression  No_Progression   ,?a  hasBiomarker  ALK_Negative,0.022360248,0.146341463,0.692307692,36,246,52,?a
?a  patientDrug  Cisplatin   ,?a  hasBiomarker  ALK_Negative,0.069565217,0.397163121,0.662721893,112,282,169,?a
?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  ALK_Negative,0.066459627,0.319402985,0.607954545,107,335,176,?a
?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  ALK_Negative,0.064596273,0.356164384,0.658227848,104,292,158,?a
?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  ALK_Negative,0.098757764,0.628458498,0.742990654,159,253,214,?a
?a  patientDrug  Carboplatin   ,?a  hasBiomarker  ALK_Negative,0.114285714,0.291139241,0.669090909,184,632,275,?a
?a  patientDrug  Nivolumab   ,?a  hasBiomarker  ALK_Negative,0.038509317,0.5,0.704545455,62,124,88,?a
?a  hasRelapse_Progression  Progression   ,?a  hasBiomarker  ALK_Negative,0.149068323,0.353460972,0.625,240,679,384,?a
?a  treatmentType  Open_Surgical_Procedure   ,?a  treatmentType  Intravenous_Chemotherapy,0.01580213,0.201754386,0.201754386,46,228,228,?a
?a  hasGender  Male   ,?a  treatmentType  Intravenous_Chemotherapy,0.121607695,0.406896552,0.41943128,354,870,844,?a
?a  treatmentType  Surgery   ,?a  treatmentType  Intravenous_Chemotherapy,0.016832704,0.538461538,0.538461538,49,91,91,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  treatmentType  Intravenous_Chemotherapy,0.031260735,0.674074074,0.674074074,91,135,135,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  treatmentType  Intravenous_Chemotherapy,0.049467537,0.566929134,0.566929134,144,254,254,?a
?a  treatmentType  Chemotherapy_Adjuvant   ,?a  treatmentType  Intravenous_Chemotherapy,0.010305737,0.181818182,0.181818182,30,165,165,?a
?a  treatmentType  Thoracoscopy   ,?a  treatmentType  Intravenous_Chemotherapy,0.018206802,0.149295775,0.149295775,53,355,355,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  treatmentType  Intravenous_Chemotherapy,0.0195809,0.416058394,0.416058394,57,137,137,?a
?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  treatmentType  Intravenous_Chemotherapy,0.012710409,0.246666667,0.246666667,37,150,150,?a
?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  treatmentType  Intravenous_Chemotherapy,0.0195809,0.416058394,0.416058394,57,137,137,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  treatmentType  Intravenous_Chemotherapy,0.06252147,0.463104326,0.463104326,182,393,393,?a
?a  hasStage  IIIA   ,?a  treatmentType  Intravenous_Chemotherapy,0.019924425,0.239669421,0.2406639,58,242,241,?a
?a  hasStage  IIIB   ,?a  treatmentType  Intravenous_Chemotherapy,0.024046719,0.496453901,0.514705882,70,141,136,?a
?a  treatmentType  Immunotherapy   ,?a  treatmentType  Intravenous_Chemotherapy,0.039505325,0.611702128,0.611702128,115,188,188,?a
?a  hasStage  IVA   ,?a  treatmentType  Intravenous_Chemotherapy,0.017176228,0.595238095,0.684931507,50,84,73,?a
?a  hasStage  IV   ,?a  treatmentType  Intravenous_Chemotherapy,0.059429749,0.602787456,0.638376384,173,287,271,?a
?a  patientDrug  Gemcitabine   ,?a  treatmentType  Intravenous_Chemotherapy,0.01580213,0.821428571,0.821428571,46,56,56,?a
?a  patientDrug  Nivolumab   ,?a  treatmentType  Intravenous_Chemotherapy,0.029886637,0.701612903,0.701612903,87,124,124,?a
?a  hasStage  IVB   ,?a  treatmentType  Intravenous_Chemotherapy,0.025420818,0.616666667,0.654867257,74,120,113,?a
?a  patientDrug  Vp-16   ,?a  treatmentType  Intravenous_Chemotherapy,0.041909997,0.578199052,0.595121951,122,211,205,?a
?a  patientDrug  Cisplatin   ,?a  treatmentType  Intravenous_Chemotherapy,0.047749914,0.492907801,0.494661922,139,282,281,?a
?a  patientDrug  Cyclophosphamide   ,?a  treatmentType  Intravenous_Chemotherapy,0.020267949,0.983333333,0.983333333,59,60,60,?a
?a  patientDrug  Pemetrexed   ,?a  treatmentType  Intravenous_Chemotherapy,0.072827207,0.837944664,0.851405622,212,253,249,?a
?a  patientDrug  Vincristine   ,?a  treatmentType  Intravenous_Chemotherapy,0.020267949,0.983333333,0.983333333,59,60,60,?a
?a  patientDrug  Paclitaxel   ,?a  treatmentType  Intravenous_Chemotherapy,0.058055651,0.578767123,0.578767123,169,292,292,?a
?a  patientDrug  Vinorelbine   ,?a  treatmentType  Intravenous_Chemotherapy,0.050841635,0.441791045,0.443113772,148,335,334,?a
?a  hasSmokingHabit  NonSmoker   ,?a  treatmentType  Intravenous_Chemotherapy,0.014428032,0.313432836,0.320610687,42,134,131,?a
?a  hasAgeCategory  Young   ,?a  treatmentType  Intravenous_Chemotherapy,0.053246307,0.450581395,0.454545455,155,344,341,?a
?a  hasRelapse_Progression  Relapse   ,?a  treatmentType  Intravenous_Chemotherapy,0.010305737,0.4,0.405405405,30,75,74,?a
?a  patientDrug  Carboplatin   ,?a  treatmentType  Intravenous_Chemotherapy,0.133631055,0.615506329,0.625401929,389,632,622,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  treatmentType  Intravenous_Chemotherapy,0.085881141,0.408496732,0.423728814,250,612,590,?a
?a  hasBiomarker  PDL1_Negative   ,?a  treatmentType  Intravenous_Chemotherapy,0.020954998,0.603960396,0.655913978,61,101,93,?a
?a  hasAgeCategory  Old   ,?a  treatmentType  Intravenous_Chemotherapy,0.116454827,0.377926421,0.394186047,339,897,860,?a
?a  hasBiomarker  BRAF_Negative   ,?a  treatmentType  Intravenous_Chemotherapy,0.014428032,0.35,0.368421053,42,120,114,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  treatmentType  Intravenous_Chemotherapy,0.069048437,0.406882591,0.420502092,201,494,478,?a
?a  patientDrug  Docetaxel   ,?a  treatmentType  Intravenous_Chemotherapy,0.03160426,0.92,0.92,92,100,100,?a
?a  hasBiomarker  PDL1_Positive   ,?a  treatmentType  Intravenous_Chemotherapy,0.020954998,0.435714286,0.469230769,61,140,130,?a
?a  patientDrug  Doxorubicin   ,?a  treatmentType  Intravenous_Chemotherapy,0.020267949,0.983333333,0.983333333,59,60,60,?a
?a  hasBiomarker  ALK_Negative   ,?a  treatmentType  Intravenous_Chemotherapy,0.065269667,0.510752688,0.538243626,190,372,353,?a
?a  hasBiomarker  EGFR_Negative   ,?a  treatmentType  Intravenous_Chemotherapy,0.076949502,0.528301887,0.55308642,224,424,405,?a
?a  hasGender  Female   ,?a  treatmentType  Intravenous_Chemotherapy,0.048093439,0.376344086,0.392156863,140,372,357,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasStage  IIIB,0.048309179,0.12145749,0.12145749,60,494,494,?a
?a  hasGender  Female   ,?a  hasStage  IIIB,0.033011272,0.110215054,0.110215054,41,372,372,?a
?a  hasAgeCategory  Young   ,?a  hasStage  IIIB,0.037037037,0.13372093,0.13372093,46,344,344,?a
?a  hasGender  Male   ,?a  hasStage  IIIB,0.080515298,0.114942529,0.114942529,100,870,870,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasStage  IIIB,0.028985507,0.141732283,0.141732283,36,254,254,?a
?a  hasBiomarker  ROS1_Negative   ,?a  treatmentType  Intravenous_Chemotherapy,0.041909997,0.463878327,0.495934959,122,263,246,?a
?a  treatmentType  Surgery   ,?a  hasStage  IIIB,0.013687601,0.186813187,0.186813187,17,91,91,?a
?a  treatmentType  Sequential_Chemoradiation   ,?a  hasStage  IIIB,0.023349436,0.491525424,0.491525424,29,59,59,?a
?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  hasStage  IIIB,0.020128824,0.166666667,0.166666667,25,150,150,?a
?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Intravenous_Chemotherapy,0.141188595,0.605301915,0.615269461,411,679,668,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasStage  IIIB,0.074074074,0.234096692,0.234096692,92,393,393,?a
?a  treatmentType  Immunotherapy   ,?a  hasStage  IIIB,0.018518519,0.122340426,0.122340426,23,188,188,?a
?a  patientDrug  Nivolumab   ,?a  hasStage  IIIB,0.010466989,0.10483871,0.10483871,13,124,124,?a
?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasStage  IIIB,0.032206119,0.291970803,0.291970803,40,137,137,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasStage  IIIB,0.056360709,0.141700405,0.141700405,70,494,494,?a
?a  patientDrug  Vp-16   ,?a  hasStage  IIIB,0.019323671,0.113744076,0.113744076,24,211,211,?a
?a  patientDrug  Vinorelbine   ,?a  hasStage  IIIB,0.05394525,0.2,0.2,67,335,335,?a
?a  hasAgeCategory  Old   ,?a  hasStage  IIIB,0.076489533,0.105908584,0.105908584,95,897,897,?a
?a  patientDrug  Paclitaxel   ,?a  hasStage  IIIB,0.049919485,0.212328767,0.212328767,62,292,292,?a
?a  patientDrug  Carboplatin   ,?a  hasStage  IIIB,0.070048309,0.137658228,0.137658228,87,632,632,?a
?a  hasBiomarker  BRAF_Negative   ,?a  hasStage  IIIB,0.010466989,0.108333333,0.108333333,13,120,120,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  hasStage  IIIB,0.057165862,0.116013072,0.116013072,71,612,612,?a
?a  hasRelapse_Progression  Progression   ,?a  hasStage  IIIB,0.074074074,0.135493373,0.135493373,92,679,679,?a
